sentence,label,deepseek,openai,finbert,NLTK,finma-7b-nlp
"This round of RMB appreciation at the end of 2023 has a different flavor. How big will this round of exchange rate appreciation be? Why did the appreciation of the exchange rate not bring about a rise in the stock market? Let’s start with these two issues to analyze the new changes in exchange rates in recent years, and look forward to 2024 based on these changes. For the first question, our answer may be different from what seems intuitive - the RMB\'s increase may be too large, and this is also the answer to the second question.",neutral,neutral,Neutral,neutral,positive,2. neutral
"To understand the logic behind it, we believe that the core reason is the stronger policy attribute of the exchange rate this year. Related to this, there are three profound changes worthy of attention: the rise in the attribute of """"policy bottom"""", the deepening of the brand of """"financing currency"""" and the """"economic stabilizer"""" """"The function is weakened. We believe that under these three changes, it is very likely that the RMB exchange rate will break 7 next year, but this is not necessarily good news for the economy and the market.",neutral,negative,Negative,neutral,negative,7.0
"Looking forward to 2024, the biggest uncertainty in the exchange rate comes from policy demands. Under the base case, we believe that the RMB exchange rate: 1) will appreciate moderately throughout the year; 2) depreciation pressure will be greater in the first half of the year;",neutral,neutral,Neutral,positive,positive,1 neutral
"2) In terms of the overall rhythm, it shows the characteristics of """"high at the beginning and end of the year, low in the middle"""", and may rise above 7 in stages. However, if there is a strong demand for """"policy bottom"""", it may rise sharply above 7 in the first half of the year and turn to a sharp depreciation in the second half of the year.",neutral,neutral,Neutral,neutral,positive,7.0
"We believe that the important reason behind this is the competition between China and the United States, which has led to the exchange rate needing both a U.S. dollar anchor and a """"policy bottom."""" In our previous analysis framework, the U.S. dollar has always been an important benchmark for the RMB exchange rate. It is then fine-tuned based on imports, exports and cross-border capital flows, and the weight of the policy impact is relatively limited. But this will change in 2023, which will also have a profound impact on the exchange rate changes in 2024.",neutral,neutral,Neutral,neutral,positive, neutral
"The """"policy bottom"""" of the RMB exchange rate: the perspective of growth competition between China and the United States. This year may be the first year since China’s accession to the WTO in 2001 that the US dollar-denominated GDP growth rate has recorded a negative value. From the first three quarters, China’s US dollar-denominated GDP growth rate was about -2%, with the exchange rate depreciating. The range exceeds 6%. The direct result of this is that China\'s contribution to the global economy in 2023 will be less than that of the United States, or even less than that in 2022.",negative,neutral,Negative,negative,positive, negative
"Therefore, from this dimension we can obtain two standards for the """"policy bottom"""" of the RMB exchange rate. The low standard may ensure that the US dollar-denominated GDP growth rate is higher than 0, while the high standard may ensure that China’s contribution to the global economy is no less than that of the United States. Calculated by a low standard, the average depreciation rate of the US dollar against the RMB in 2024 should not be higher than the nominal GDP growth rate. We predict that China\'s nominal GDP growth rate in 2024 may be 5.2%, and the corresponding depreciation bottom line of the RMB exchange rate is 7.45. According to high standards, the IMF predicts that the US nominal GDP growth rate in 2024 will be about 3.8%, which corresponds to China\'s economic growth rate of 5.9%. This requires an additional 0.7% appreciation of the RMB in 2024, and the corresponding bottom line of the RMB exchange rate is 7.03. Therefore, from this perspective, the policy may hope that the RMB will appreciate significantly.",neutral,Neutral,Positive,neutral,positive, positive
"It is worth noting that an important logic behind this is that the better the U.S. economy is and the weaker our country\'s economy is, the greater the need to stabilize the exchange rate, especially as the efficiency of domestic economic stabilization policies has declined in recent years. This will not only prevent the exchange rate from functioning as an """"automatic stabilizer"""" for the economy, but will also limit the space for countercyclical adjustment of monetary policy, especially interest rate policy (we will explain the impact on monetary policy in more detail in subsequent reports).",negative,neutral,Neutral,negative,positive, negative
"When the former is combined with the """"new normal"""" of inverted interest rate differentials between China and the United States, it will lead to the rise of the """"financing currency"""" attribute of the RMB and the rise of carry trade. Simply put, investors tend to sell low-cost, low-volatility assets while buying high-yielding assets, thereby obtaining more stable positive returns. A typical example is the Japanese yen. International investors were once keen to borrow Japanese yen to purchase other relatively high-interest assets, such as U.S. debt.",neutral,neutral,Positive,neutral,positive, positive
"The rise of this carry trade also means the continuous accumulation of """"natural"""" short positions. The disadvantage is that currencies are very sensitive to interest rates and liquidity environments at home and abroad. If we pay attention to the exchange rate, domestic monetary policy, especially interest rate cuts, will be greatly constrained.",negative,neutral,Negative,negative,neural, negative
"This year, the characteristics of RMB as a financing currency have become increasingly obvious. We usually use the """"interest spread/volatility"""" indicator to measure whether a currency is suitable as a financing currency in carry transactions - generally the larger the interest rate spread relative to other currencies and the smaller the volatility, the better. , the greater the negative value of this indicator, the more prominent the characteristics of RMB as a financing currency.",neutral,neutral,Neutral,neutral,positive, neutral
"Two major changes in monetary policy this year are related to this. The first is to be more """"stingy"""" with interest rate cuts. In the third quarter of this year, when the economy is under the greatest pressure, it only cut interest rates by 15bp (MLF interest rate), causing the actual interest rate to rise this year. The second is to be more vigilant about """"idling of funds"""", and the risk of idling of funds and interest rate fluctuations. The decline (we use the difference between DR007 and the reverse repurchase rate to measure) will amplify the depreciation pressure of the RMB. After August this year, the central bank and other regulatory agencies have significantly strengthened the governance of this phenomenon. This is reflected in the fact that although liquidity has not been reduced, However, the currency market continues to be tight. We expect these conditions to continue in 2024, but will ease to some extent when external pressure decreases.",neutral,neutral,Neutral,positive,positive, neutral
"The economy """"feeds back"""" the exchange rate: the dilemma between exports and inflation",neutral,neutral,Neutral,neutral,negative, neutral
"Based on the above analysis, we believe that the biggest difficulty in predicting the RMB exchange rate in 2024 is that policy demands may be greater than before. This can certainly ensure that the RMB exchange rate has a """"bottom"""", but what may be more noteworthy is that in the case of changes in the market structure, the RMB exchange rate cannot be allowed to appreciate too quickly.",neutral,neutral,Neutral,neutral,positive, neutral
"Looking forward to 2024, we have three main basic judgments on the RMB: 1) It will appreciate moderately throughout the year; 2) According to the normal pace, depreciation pressure will be greater in the first half of the year, but this may not be in line with policy demands; 2) The overall pace On the index, it shows the characteristics of """"high at the beginning and end of the year, low in the middle"""", and may rise above 7 in stages.",neutral,neutral,neutral,positive,negative,7.0
"From a market perspective, the central decline of the US dollar determines the basic direction of the RMB. In 2024, we expect that the center of the U.S. dollar index will decline compared with 2023, but there will not be a trend of depreciation. After the epidemic, especially since 2022, the economic pattern of """"the United States is relatively strong, Europe and China are relatively weak"""" and the tight global liquidity situation will not fundamentally change in 2024: both the Chinese and European economies are facing transformation. In the context of geopolitical tensions and balance sheet reduction, the problem of tight global liquidity will not fundamentally change, but the extent will be improved compared to 2023.",neutral,neutral,Neutral,negative,positive, neutral
"A rate cut by the Fed has never been a sufficient condition for a sharp depreciation of the dollar. Exchange rates have always been a relative concept. When looking forward to the Fed\'s interest rate cuts, don\'t forget that from a fundamental perspective, China and Europe may have greater urgency to cut interest rates and ease in 2024. A typical example is 2019. Against the background of the global economic slowdown, the Federal Reserve cut interest rates three times in the second half of 2019, and the US dollar continued to appreciate throughout the year.",neutral,neutral,Neutral,negative,positive,2019
"Therefore, under our base case, we do not expect the U.S. dollar center to fall below 100 in 2024. On the contrary, the market\'s expectations for the upward risk of the U.S. dollar are insufficient.",neutral,neutral,Neutral,negative,negative,100.
"The pace of interest rate cuts in China and the United States will become an important factor affecting the periodic appreciation and depreciation of the RMB. Precisely because the RMB\'s """"financing currency"""" attribute has increased, in addition to the US dollar index, it will also be more sensitive to changes in Sino-US interest rates.",neutral,neutral,Neutral,neutral,positive, neutral
"The pace of interest rate cuts that is more comfortable for the exchange rate in 2024 may be to follow the Fed\'s operations. In the first half of the year, we mainly completed the tasks of supporting the economy and stabilizing the exchange rate through the operations of """"MLF and reserve requirement ratio reduction + tightening of money market liquidity + raising offshore market financing interest rates""""; in the second half of the year, we followed the Federal Reserve to cut interest rates, which basically ensures that the RMB will continue to adjust accordingly. With the US dollar fluctuating within a controllable range.",neutral,neutral,Neutral,neutral,positive, neutral
"Under this circumstance, the basic rhythm of the RMB exchange rate will be: partial appreciation in the first quarter, weakening in the second quarter due to repeated expectations of Fed interest rate cuts and seasonal factors, and depreciation of the RMB in the third quarter after the Fed\'s interest rate cuts are implemented and the People\'s Bank of China follows suit. The price fluctuated and appreciated, and then appreciated again in the fourth quarter due to policy tasks and seasonal factors.",neutral,neutral,Neutral,positive,positive,2 positive
"Risk warning: Policy determination is stronger than expected; the U.S. economy will shrink more than expected in 2024, the Federal Reserve will cut interest rates sharply ahead of schedule, the US dollar will fall sharply, and the RMB will appreciate sharply;",negative,negative,Negative,negative,positive, negative
Financial Statistics:,neutral,neutral,Neutral,neutral,neural, neutral
"On August 30, the People\'s Bank of China released a statistical report on the loan allocation of financial institutions in the second quarter of 2024. The data showed that at the end of the second quarter of 2024, the balance of various RMB loans of financial institutions was 250.85 trillion yuan, an increase of 8.8% year-on-year, and RMB loans increased by 13.26 trillion yuan in the first half of the year.",neutral,neutral,Positive,positive,positive, positive
1. The stock market rebounded slightly and the bond market recovered.,positive,positive,Positive,positive,neural, positive
2. European and American stock markets and government bond interest rates have both rebounded.,positive,positive,Positive,positive,positive, positive
3. The US GDP in the second quarter was revised upward to 3%.,positive,positive,Positive,negative,neural, positive
"4. Japan\'s CPI was 2.8% in July, which has been above 2% for 28 consecutive months.",neutral,neutral,Positive,negative,neural,2.8
Monetary liquidity review:,neutral,neutral,Neutral,neutral,neural, neutral
"From August 26 to 30, the central bank\'s reverse repurchase (7D) was 1401.8 billion, and 1197.8 billion was returned after maturity, with a net injection of 204 billion last week. (Figure 2)",neutral,neutral,Neutral,neutral,neural,1197
"In terms of fund prices, the averages of DR001 and DR007 were 1.62% and 1.79% respectively, which were -13bp and -2bp higher than the previous week (August 19-23); the averages of R001 and R007 were 1.70% and 1.91% respectively, which were -13bp and 3bp higher than the previous week. The exchange repo rate rose overall, with the average of GC007 being 1.94%, up 2bp from the previous week; the weekly average of R007-DR007 was 12bp, up 4bp from last week. (Figures 3 and 4)",neutral,neutral,Neutral,positive,positive, positive
"The average daily turnover of inter-bank pledged repo was 6099.6 billion yuan, down 195.4 billion yuan from the previous week. Among them, the average daily turnover of R001 was 5121.7 billion yuan, and the average daily turnover of R007 was 915 billion yuan. The average daily turnover of GC001 was 1517.9 billion yuan; the average daily turnover of GC007 was 195.8 billion yuan.",neutral,neutral,Negative,negative,neural, negative
Interbank deposit certificate:,neutral,Neutral,Neutral,neutral,neural, neutral
"In terms of the primary market issuance rate, as of August 31, the 1-year issuance rate of state-owned banks was 1.97%, joint-stock banks was 1.95%, and city commercial banks was 2.12%; in terms of the secondary market yield, as of August 31, the 1-year AAA certificate of deposit maturity yield was 1.97%, up 1bp from last week. Among them, the 1-year certificate of deposit yield of state-owned banks was 1.97%, and the 1-year certificate of deposit yield of joint-stock banks was 1.98%. (Figure 6)",neutral,neutral,Neutral,positive,neural,1.97
"The term spread of interbank certificates of deposit is the same as the previous period. The spread between the 1-year AAA interbank certificate of deposit yield and the 1-year MLF rate is 33bp, which is -1bp lower than on August 23. The average 1Y-3M term spread is 10bp, and the average 1Y-6M term spread is 1.9bp. (Figures 7 and 8)",neutral,neutral,Neutral,neutral,positive,1.9
"The interest rates of 3M and 6M bills diverged. As of August 31, in the re-discount market, the re-discount rate of 3M national shares (without the three rural issues) closed at 1.6%. The re-discount rate of 6M national shares (without the three rural issues) closed at 1.16%. In the direct re-discount market, the direct re-discount rate of 3M national shares (without the three rural issues) closed at 1.75%. The direct re-discount rate of 6M national shares (without the three rural issues) closed at 1.30%. (Figure 9)",neutral,neutral,Neutral,neutral,positive,3M neutral
"Foreign exchange market: As of Saturday (August 31), the RMB central parity rate closed at 7.1124, down 0.32% from August 23, the offshore RMB exchange rate was 7.1273, depreciating 0.20% from last weekend, and the onshore RMB exchange rate was 7.0856, depreciating 0.73% from last weekend. In terms of exchange rate index, as of August 31, the three major RMB exchange rate indexes (CFETS, BIS, SDR) were 98.39, 104.19, and 93.10 respectively. (Figures 9 and 10)",neutral,Negative,Negative,negative,positive, negative
"In terms of exchange rate difference, the difference between the spot RMB exchange rate and the central parity rate was 0.024 (previous value 0.001), and the exchange rate difference between the two places (CNH-CNY) was 19 basis points (previous value -25 basis points). (Figures 9 and 10)",neutral,neutral,Neutral,neutral,positive,0.02
Related policy tracking of the central bank or other government agencies from August 26 to 30:,neutral,neutral,Neutral,neutral,neural, neutral
"Ministry of Finance: On August 30, the Ministry of Finance released the """"Report on the Implementation of China\'s Fiscal Policy in the First Half of 2024"""", which showed that in the first half of the year, my country\'s economic operation continued to recover and improve, and fiscal operation was generally stable. At the same time, the """"Report"""" proposed that in the next step, it is necessary to deepen the reform of the fiscal and taxation system, increase the intensity of fiscal macro-control, strengthen the coordination and cooperation of fiscal policy and other policies, improve the effectiveness of policy implementation, and promote the strengthening of the economic recovery. The Ministry of Finance also mentioned that it is necessary to do a good job in the issuance of ultra-long-term treasury bonds; moderately increase efforts, improve quality and efficiency, implement positive fiscal policies, and prevent and resolve local government debt risks.",positive,positive,Positive,positive,positive, positive
"Japan: Japan\'s CPI inflation recorded 2.7% in July, staying above 2% for 28 consecutive months. As the yen ends its depreciation cycle, it is estimated that the contribution of imported inflation is decreasing, and the contribution of wage growth is increasing. The endogenous nature and sustainability of moderate inflation are increasing.",positive,neutral,Positive,negative,positive, positive
Changes in the global capital market in one week:,neutral,neutral,Neutral,neutral,neural, neutral
"The interest rates of European and American government bonds have all risen. On August 30, the latest interest rate of the US 10-year government bond closed at 3.91%, and the upper and lower limits of the interest rate remained unchanged at 4.6~4.85% and 3.30~3.55%, respectively. The yield of Japan\'s 10-year government bond was 0.9%, down 0.2bp from last week. The eurozone\'s benchmark 10-year German government bond yield rose by 6bp, and the French 10-year government bond yield rose by 8bp. The Italian 10-year government bond yield rose by 12bp. The Spanish 10-year government bond yield rose by 10bp, the Greek 10-year government bond yield rose by 1bp, and the British 10-year government bond yield rose by 7bp.",neutral,neutral,Neutral,positive,positive,1. neutral
"From August 26 to 30, the Nikkei 225 index of the Japanese and Korean stock markets rose by 0.74%, while the Korean Composite Index fell by 1.01%. (Figure 16)",neutral,neutral,Neutral,neutral,neural,0.74
Risk warning: Overseas economic recession.,negative,negative,Negative,negative,negative, negative
"Xinhua News Agency, Beijing, April 2, Title: Better restore the vitality of the Mother River - Relevant heads of five departments talk about """"Opinions on Unswervingly Promoting the Ten-Year Ban on Fishing in the Yangtze River""""",neutral,neutral,Neutral,neutral,positive, positive
"Xinhua News Agency reporters Yu Wenjing, Zhang Xiaojie and Yan Fujing",neutral,neutral,Neutral,neutral,neural, neutral
"The General Office of the State Council recently issued the """"Opinions on Unswervingly Promoting the Ten-Year Ban on Fishing in the Yangtze River"""". How have fishery resources recovered since the ten-year fishing ban in the Yangtze River was implemented? What is the livelihood security of fishermen? According to the opinions and arrangements, how to continue to implement the Yangtze River fishing ban? At the regular policy briefing of the State Council held by the State Council Information Office on the 2nd, the relevant heads of the five departments answered reporters’ questions.",neutral,neutral,Neutral,neutral,negative, neutral
Aquatic biological resources are recovering well,positive,positive,Positive,positive,positive, positive
"According to reports, important phased results have been achieved since the implementation of the ten-year fishing ban in the Yangtze River. Among them, aquatic biological resources are recovering well. According to the results of the fishing ban effect evaluation and biological integrity index evaluation conducted by the Chinese Academy of Water Sciences, the aquatic biological integrity index of the main stream of the Yangtze River, Poyang Lake, and Dongting Lake has improved by two levels from the worst """"no fish"""" before the fishing ban. In 2022, the population of the iconic Yangtze finless porpoise reached 1,249, achieving a historic rebound. The Yangtze swordfish migrated upriver to Dongting Lake, reaching the furthest water area in history.",positive,positive,Positive,positive,negative, positive
"Guo Lanfeng, a member of the Party Leadership Group of the National Development and Reform Commission, said that the ten-year ban on fishing in the Yangtze River is a strategic measure to promote the protection of the Yangtze River. In recent years, our country has adopted a series of protection and restoration measures, and the ecological environment of the Yangtze River has undergone significant changes.",positive,positive,Positive,neutral,positive, positive
"""""While seeing the results of the fishing ban, we must also be soberly aware that the results are not yet stable and the work is still in the stage of climbing uphill and overcoming hurdles."""" Guo Lanfeng said that the next step will be to coordinate and supervise relevant departments and provinces along the river to advance unswervingly Fishing in the Yangtze River has been banned for ten years, and various tasks have been implemented consistently to better restore the aquatic biodiversity of the Yangtze River and the vitality of the mother river.",neutral,neutral,Neutral,neutral,negative, positive
"To implement a ten-year fishing ban in the Yangtze River, it is key to ensure the resettlement of fishermen who have retired from fishing.",neutral,neutral,Neutral,neutral,negative, neutral
"""""The employment and social security of fishermen who have retired from fishing have basically achieved the goal of \'helping everyone who needs help and protecting everyone who needs to be protected\', but the level of security is still relatively low overall, and the income stability of some fishermen who have retired from fishing is still relatively poor with flexible employment and self-employment. The next step is to consolidate and improve the level of resettlement and security for fishermen who have retired from fishing. Tang Renjian said that the opinions issued this time have enriched and improved the """"toolbox"""" for employment, pension and other aspects for more than 230,000 fishermen who have retired from fishing. """"Promote in depth towards """"stability"""" and """"ability to get rich"""".",positive,neutral,Neutral,positive,positive, positive
"Tang Renjian said that the ban on fishing in the Yangtze River is a long-term, complex and arduous historical task. We still face many problems and challenges in continuing to consolidate the results of the ban and accelerating the restoration of the basin\'s ecology. For example, the time, location, and methods of illegal fishing as well as the black industry chain for the underground circulation of illegal catches are becoming increasingly hidden. The Ministry of Agriculture and Rural Affairs will continue to vigorously promote the implementation of various measures to ban fishing in the Yangtze River.",neutral,neutral,Negative,negative,negative, neutral
"""""The Ministry of Public Security will adhere to both prevention and control. During the ten-year fishing ban period in the Yangtze River, it will organize the \'Safe Yangtze River\' special operation focusing on combating illegal fishing in the Yangtze River every year. It will organize police forces to work with relevant administrative law enforcement departments to carry out high-frequency joint operations in key waters. Inspect and enforce laws and strengthen undercover inspections. We will further cooperate with relevant departments to promote the strengthening of source supervision measures such as the ban on fishing gear and the purchase and sale of illegal catches,"""" said Tian Yonghao, head of the Public Security Bureau of the Ministry of Public Security.",neutral,neutral,Neutral,neutral,positive, positive
"Ma Youxiang, deputy minister of the Ministry of Agriculture and Rural Affairs, said that the next step will be to strengthen fishing supervision and standardize fishing in prohibited waters. Adhere to the combination of clearing and blocking and improve the management system; study and establish a fishing registration system and management platform, increase the crackdown on illegal fishing; and actively give play to the autonomous management role of fishing industry associations.",neutral,neutral,Neutral,neutral,positive, positive
"According to Nan Jun, head of the Law Enforcement and Inspection Bureau of the State Administration for Market Regulation, the State Administration for Market Regulation organized a three-year special campaign of """"banning fishing in the Yangtze River and cracking down on non-chains"""". Currently, illegal catches from the Yangtze River are openly publicized and sold in the market. Basically eliminated, illegal sales channels are basically blocked. In the next step, the market supervision department will conscientiously implement the overall arrangements of the opinions and continuously consolidate and improve the effectiveness of special action supervision and law enforcement.",positive,Neutral,Neutral,neutral,negative, positive
"Risk warning: geopolitical conflicts exceed expectations, the U.S. economy falls short of expectations, Japan’s monetary policy exceeds expectations, etc.",negative,negative,Negative,negative,negative, neutral
"Looking ahead, the general direction of financial """"water squeeze"""" and economic stabilization and recovery will not change in the short term, and the total financial data may still be under pressure. However, in the second half of the year, fiscal efforts are expected to accelerate. At present, government bond financing continues to grow at a high rate, and fiscal deposits have also declined, reflecting that the fiscal side is gradually accelerating financing to support broad fiscal expenditures. With the efforts of fiscal policies in the second half of the year, economic recovery is expected to accelerate.",positive,neutral,positive,negative,positive, positive
"In July, corporate loans were relatively low, and the bill rush was obvious. In July, new corporate loans were 130 billion yuan, a year-on-year increase of 107.8 billion yuan. Among them, new short-term and medium- and long-term corporate loans in July were -550 billion yuan and 130 billion yuan, respectively, a year-on-year decrease of 171.5 billion yuan and a year-on-year increase of 141.2 billion yuan. This reflects that companies\' willingness to actively invest is still not high. In July, new bill financing increased by 558.6 billion yuan, a year-on-year increase of 198.9 billion yuan, and the bill rush was obvious.",negative,neutral,Neutral,positive,positive,198.
"On the resident side, short-term loans performed relatively weakly, reflecting that residents\' willingness to consume still needs to be strengthened. In July, new residents\' loans were -210 billion yuan, a decrease of 9.3 billion yuan year-on-year, of which new residents\' short-term loans were -215.6 billion yuan, a decrease of 82.1 billion yuan year-on-year, indicating that current residents\' expectations have not stabilized and confidence still needs to be improved. Looking forward, policy support for consumption still needs to be increased, especially the July Political Bureau meeting emphasized that """"domestic demand should be expanded with a focus on boosting consumption"""" and """"the focus of economic policies should be more on benefiting people\'s livelihood and promoting consumption"""". Subsequent policy implementation is expected to improve residents\' expectations.",negative,neutral,Negative,positive,positive, negative
"Although credit is relatively sluggish, social financing still achieved year-on-year growth with the support of government and corporate bond financing. In July, new social financing was 770.8 billion yuan, an increase of 234.2 billion yuan year-on-year, and new government bond financing alone reached 691.1 billion yuan, an increase of 280.2 billion yuan year-on-year. In the past three months, government bond financing has remained at a high level, and the issuance of special bonds has also accelerated, which has significantly boosted social financing, reflecting that in the current context of insufficient overall economic growth momentum and relatively low credit demand, the fiscal side has accelerated financing to support broad fiscal expenditures to drive economic growth. At the same time, new corporate bond financing in July was 202.8 billion yuan, an increase of 73.8 billion yuan year-on-year, reflecting that companies have partially replaced loans through bond issuance.",positive,neutral,Positive,positive,positive, positive
"The growth rate of M1 continued to decline, and the ban on manual interest payments further """"moved"""" corporate deposits. In July, the year-on-year growth rate of M1 fell to -6.6%, and M2 rebounded by 0.1 percentage point to 6.3% year-on-year, still maintaining a low level, and the gap between M2 and M1 continued to widen. Under the dual influence of the low overall investment willingness of enterprises and the suspension of """"manual interest payments"""", the degree of activation of corporate funds is low, and corporate demand deposits continue to flow to money funds and wealth management products, which restricts the growth rate of M1. It can also be seen from the deposit data in July that the new corporate deposits in July were -1.78 trillion yuan, a year-on-year decrease of 250 billion yuan, while non-bank deposits increased by 750 billion yuan, a year-on-year increase of 337 billion yuan, reflecting that the current situation of corporate deposits """"moving"""" has not changed significantly.",negative,negative,Negative,negative,positive, negative
"The fiscal policy will be further accelerated in the second half of the year. In July, fiscal deposits increased by 645.3 billion yuan, a year-on-year decrease of 262.5 billion yuan, reflecting the acceleration of fiscal support for the economy. Combined with the continued high growth of government debt financing in recent months, fiscal spending will increase significantly in the second half of the year, which will help the recovery of GDP growth and improve endogenous growth momentum.",positive,positive,Positive,positive,positive, positive
"Risk warning: The slowdown in the pace of policy introduction and project implementation has led to a slow economic recovery; overseas economies have entered recession significantly ahead of schedule, and domestic exports have shrunk more than expected.",negative,negative,Negative,negative,negative, negative
Quick review of hot topics,neutral,neutral,Neutral,neutral,neural, neutral
Sumitomo Mitsui (8316.JP) released its performance report for the third quarter of fiscal 2023 (October-December 2023).,neutral,neutral,Neutral,neutral,neural, neutral
"23Q3 revenue and profit exceeded expectations, and net interest income and non-interest income were both better than expected:",positive,positive,Positive,positive,positive, positive
"Revenue growth was +22.0% year-on-year, better than the +13.2% consensus forecast by Bloomberg.",positive,positive,Positive,positive,positive, positive
"Net interest income grew +13.6% year over year, beating the Bloomberg consensus estimate of +6.9%.",positive,positive,Positive,positive,neural, positive
"Non-interest income grew +31.7% year over year, better than the Bloomberg consensus estimate of 20.6%.",positive,positive,Positive,positive,positive, positive
"The cost-to-income ratio changed -2.1pct year-on-year to 60.4%, which was better than Bloomberg’s consensus estimate of 61.1%.",positive,positive,Positive,positive,positive,0.3
"Net profit attributable to shareholders increased by +10.7% year-on-year, which was better than the -4.4% consensus forecast by Bloomberg.",positive,positive,Positive,positive,positive, positive
"Deposits increased by +4.5% year-on-year, which was weaker than the +6.3% consensus forecast by Bloomberg; the year-on-year change in loans was +4.3%, which was better than the +3.6% consensus forecast by Bloomberg.",neutral,neutral,Neutral,positive,positive,4.5
"Impairment losses in 23Q3 were lower than expected, and the non-performing loan ratio decreased year-on-year and increased quarter-on-quarter:",neutral,neutral,Positive,negative,negative, negative
"Credit impairment losses totaled 34 billion yen, below Bloomberg's consensus estimate of 56 billion yen. Credit impairment losses increased compared with the same period last year.",neutral,neutral,Negative,negative,positive,22.0
"The non-performing loan rate was 0.81%, a year-on-year decrease of 7bp and a month-on-month increase of 8bp.",neutral,neutral,Neutral,negative,positive, positive
"Dividend per share was 135 yen, in line with Bloomberg consensus forecast, compared with 103 yen in the same period last year",neutral,neutral,Neutral,positive,positive,32.0
"Global economic growth is higher/lower than expected; interest rate hikes are higher/lower than expected, and asset quality is higher/lower than expected.",neutral,neutral,Neutral,negative,positive, neutral
"The State Council Information Office held a press conference at 10 a.m. on January 17, 2024 (Wednesday), asking Kang Yi, Director of the National Bureau of Statistics, and Wang Guanhua, spokesperson of the National Bureau of Statistics, to introduce the operation of the national economy in 2023 and answer reporters\' questions.",neutral,neutral,Neutral,neutral,neural, neutral
The picture shows the press conference scene. (Photo by Liu Jian),neutral,neutral,Neutral,neutral,neural, neutral
"Shou Xiaoli, Deputy Director and Spokesperson of the Information Bureau of the State Council Information Office:",neutral,Neutral,Neutral,neutral,neural, neutral
"Ladies and gentlemen, good morning! Welcome to the press conference of the State Council Information Office. Today we are conducting a routine release of economic data. We have invited Mr. Kang Yi, Director of the National Bureau of Statistics, and Ms. Wang Guanhua, Spokesperson of the National Bureau of Statistics, to introduce to you the performance of the national economy in 2023 and answer questions that everyone is concerned about.",neutral,neutral,Neutral,neutral,positive, neutral
"Kang Yi, Director of the National Bureau of Statistics:",neutral,neutral,Neutral,neutral,neural, neutral
"Thank you host. Dear friends from the media, good morning. First of all, let me introduce to you the operation of the national economy in 2023.",neutral,neutral,Neutral,neutral,positive, neutral
"In 2023, the national economy will rebound and improve, and high-quality development will be solidly advanced. In 2023, facing the complex and severe international environment and the arduous tasks of domestic reform, development and stability, under the strong leadership of the Party Central Committee with Comrade Xi Jinping at the core, all regions and departments will conscientiously implement the decisions and arrangements of the Party Central Committee and the State Council, and adhere to stability. The general tone of the work is to seek progress, fully, accurately and comprehensively implement the new development concept, accelerate the construction of a new development pattern, comprehensively deepen reform and opening up, increase macro-control efforts, focus on expanding domestic demand, optimize structure, boost confidence, prevent and resolve risks, and our country\'s economy The rebound is improving, supply and demand are steadily improving, transformation and upgrading are actively promoted, employment and prices are generally stable, people\'s livelihood protection is strong and effective, high-quality development is solidly advanced, and the main expected goals are successfully achieved.",positive,positive,Positive,positive,positive, positive
"According to preliminary calculations, the annual GDP was 126,058.2 billion yuan, an increase of 5.2% over the previous year at constant prices. In terms of industries, the added value of the primary industry was 8,975.5 billion yuan, an increase of 4.1% over the previous year; the added value of the secondary industry was 48,258.9 billion yuan, an increase of 4.7%; and the added value of the tertiary industry was 68,823.8 billion yuan, an increase of 5.8%. Looking at quarters, GDP increased by 4.5% year-on-year in the first quarter, 6.3% in the second quarter, 4.9% in the third quarter, and 5.2% in the fourth quarter. From a quarter-on-quarter perspective, GDP increased by 1.0% in the fourth quarter.",neutral,positive,Positive,positive,positive, positive
"1. Grain output reaches new highs, and livestock production grows steadily",positive,positive,Positive,positive,positive, positive
"The total national grain output for the whole year was 695.41 million tons, an increase of 8.88 million tons or 1.3% over the previous year. Among them, summer grain output was 146.15 million tons, a decrease of 0.8%; early rice output was 28.34 million tons, an increase of 0.8%; autumn grain output was 520.92 million tons, an increase of 1.9%. In terms of varieties, rice output was 206.6 million tons, a decrease of 0.9%; wheat output was 136.59 million tons, a decrease of 0.8%; corn output was 288.84 million tons, an increase of 4.2%; soybean output was 20.84 million tons, an increase of 2.8%. Oil production was 38.64 million tons, an increase of 5.7%. The annual output of pork, beef, mutton and poultry was 96.41 million tons, an increase of 4.5% over the previous year; of which, the output of pork was 57.94 million tons, an increase of 4.6%; the output of beef was 7.53 million tons, an increase of 4.8%; and the output of mutton was 5.31 million tons, an increase of 1.3%. ; Poultry meat output was 25.63 million tons, an increase of 4.9%. Milk production was 41.97 million tons, an increase of 6.7%; poultry and egg production was 35.63 million tons, an increase of 3.1%. The number of live pigs sold throughout the year was 726.62 million, an increase of 3.8%; the number of live pigs at the end of the year was 434.22 million, a decrease of 4.1%.",neutral,neutral,Neutral,positive,positive, neutral
"2. Industrial production has recovered steadily, and the equipment manufacturing industry has grown rapidly.",positive,positive,Positive,positive,neural, positive
